material_id,corpus,domain,ladder,codec,nominal_tolerance_relative,stage,category,detail
mp-753183,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
mp-753554,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 4 is out of bounds for axis 1 with size 3
mp-754196,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-756647,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-758622,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-771133,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-773101,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-776076,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-779079,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-998613,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-999450,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad--1YLlCXKIJKj,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad--1YLlCXKIJKj,dev_slab,slab,base,SPERR,0.003,sperr@0.003,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
nomad--g_dRNdo_53Q,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad--kEaPn7WzevZ,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
aflow-Al8Cu4U1_ICSD_601801,ext_bulk,bulk,base,,,noise_probe,basin_relabelling_symmetry_equivalent,A.1 floor 2.15 e is a basin permutation between symmetry-equivalent Al pairs (0.88<->3.03 e); charge multiset unchanged; original partition already symmetry-broken (14037 vs 48811 voxels)
nomad--O7C25L6mxPu,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-4khM-ZQ6rM_L,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-4khM-ZQ6rM_L,dev_slab,slab,base,SPERR,0.0001,sperr@0.0001,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-0-ostsntWIk9,dev_slab,slab,base,ZFP,0.003,zfp@0.003,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-064_5lUOyDQI,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
nomad-9jQMkfdCbgX_,dev_slab,slab,base,ZFP,0.003,zfp@0.003,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-9jQMkfdCbgX_,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-0HydAdmxidgt,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-9xtsrVZD5SSK,dev_slab,slab,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-A5zDMCxBBUYc,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-A5zDMCxBBUYc,dev_slab,slab,base,SPERR,0.0001,sperr@0.0001,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
nomad-AUrOZMeLzRg5,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-BMoyqNd6y06X,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
nomad-0pSeEEz7rc0X,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-0xMhYZKiiVKL,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-0xMhYZKiiVKL,dev_slab,slab,base,SPERR,0.0001,sperr@0.0001,bader_solver_failure,IndexError: index -4 is out of bounds for axis 0 with size 3
nomad-19wSfSWChOSI,dev_slab,slab,base,ZFP,0.003,zfp@0.003,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-19wSfSWChOSI,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-1CIlfNcWTE4X,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-1Few3hG0Dkat,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-FPTBoTAPMQA8,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-1urv55npagDc,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-1xNwoQ8q8XXI,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-SzuB_oB4XzfT,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
nomad-VNlX3_0OCG9w,dev_slab,slab,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-2iwRdQb9gzT1,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-WjYAcipcgiRI,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-5_7vAQzUevH0,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
nomad-4CA6DwNaypkT,dev_slab,slab,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-4hOaTvLmAUuc,dev_slab,slab,base,ZFP,0.003,zfp@0.003,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-61GFUgm3lTUg,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
nomad-6o4AmsigmNP5,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
nomad-6x45-ylTvOvZ,dev_slab,slab,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index -4 is out of bounds for axis 1 with size 3
nomad-7OdXN2bFHmUg,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-8Hl4JATTj5Fp,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
nomad-8ZPelCNdN_TR,dev_slab,slab,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-1038991,dev_bulk,bulk,base,ZFP,0.01,mech_atom:zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
nomad-4TmN2lwz6DHx,dev_slab,slab,base,ZFP,0.01,mech_atom:zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
